Unnamed: 0,nom,ville,ice
78745,Star (Chaussures),Casablanca,001753339000018
78746,Ajtal,Laayoune,001753354000001
78747,INFRAST SUD,Ouarzazate,001753362000076
78748,Ritz-Cabo-Beach,Tanger,001753424000051
78749,Mediateur Express,Rabat,001753474000059
78751,AVALIS,Casablanca,001753577000091
78752,Badvisory,Casablanca,001753592000074
78753,TAWZI3,Aït Melloul,001753616000008
78754,Batiment Industrielle Et Charpente  (Bicharpe),Soualem,001753688000004
78755,Sania Plage,M'Diq,001753713000008
78756,Absoret,Ait Melloul M,001753737000039
78757,El Hagounia,Laayoune,001753759000027
78758,Fourniture Generale De Construction (Ese De)  (Efgec),Casablanca,001753865000075
78759,Societe Agri New Tech,Jadida,001753869000064
78760,Electradis,Meknès,001753934000055
78761,Modalay Schoes,Mdina Ar,001753980000074
78763,Nizaris,Kacem M,001754053000043
78764,Faticall,Hay Mohammadi Ar,001754085000052
78765,Khalfia Travaux,Beni Mellal,001754145000081
78766,Ste Ziani De Construction Et De Perfectionnement,Oujda,001754168000042
78767,Fiduciaire Pour Le Developpement Des Entreprises  (Fidev),Meknès,001754199000078
78768,CHTOUKI,Rabat,001754204000040
78769,Owaata Platre,Ouarzazate,001754211000045
78770,Ktd,Imider,001754220000093
78772,Societe Immobiliere Ibnou Rachid,Assoukhour Assawda,001754269000031
78773,Lebada Travaux,Ouarzazate,001754317000093
78774,Piste Locale  (Piloc),Fès,001754322000055
78775,Ste H.E.F Services,Mrirt M,001754325000071
78776,Eco Aman,Azemmour M,001754358000053
78777,Ste Koif By Ibrahimi,Casablanca,001754367000004
78778,Sahara Topo,Laayoune,001754375000079
78779,Ste Belghazi Fourniture Et Commerce General  (Bfcg),Laayoune,001754396000094
78780,Creative Live,Gueliz Ar,001754431000022
78781,Azama. Com,Azemmour,001754436000081
78782,Polytech Industrie,Khouribga,001754450000091
78783,Sigma Adhesif,Casablanca,001754481000030
78784,Samrane Car,Mdina Ar,001754497000083
78785,Union Sahara,Laayoune,001754546000021
78786,Pyramide Commerciale Internationale,Casablanca,001754547000091
78788,Pharmastar,Agadir,001754554000096
78789,Fiduciaire Sakia Al Hamra,Laayoune,001754562000074
78790,Societe Haira De Construction,Agadir,001754591000067
78791,SOTÉRI (sté de travaux d'électricité et de réalisations industrielles),Kénitra,001754603000034
78792,Societe Semenof,Ouarzazate,001754638000059
78793,Sorabrass,Mechra Bel Ksiri,001754651000096
78794,The Interpreter,Sale,001754802000093
78795,Tamuda Leisure Entertainment,Tetouan M,001754806000082
78796,Elkaitouf,Zag,001754839000064
78797,Societe Star Seif Eddine De Transport,Boujdour,001754863000095
78798,El Mellalia Des Travaux Divers Et Amenagement,Bni Mellal M,001754870000003
78799,Entreprise Ella L'Ammam De Construction,Fès,001754938000010
78800,Isis Pieces Auto,El Kelaâ Des Sraghna,001754951000047
78801,Groupe Scolaire Abelia Prive,Fquih Ben Salah M,001754997000066
78802,Societe Immobiliere Marjoly,Hassani,001755003000001
78803,Amane Dary,Sidi Youssef Ben Ali Ar,001755016000038
78804,Noble Arome First,Hassani,001755027000032
78805,Les Embruns De Lile,Essaouira M,001755072000078
78806,Tra Najah,Jadida M,001755131000037
78807,Icom Plus,Mohammedia,001755151000079
78808,Sabrimo-Sud,Tan Tan,001755231000053
78809,Soundous Beaute,Agdal Riyad Ar,001755237000085
78810,Derma Soins (Ste),Casablanca,001755256000057
78811,Ckcom Agence Conseil En Communication,Casablanca,001755267000051
78813,Societe Edification Du Sahara  (Edisa),Laayoune,001755297000017
78814,Tassilat Aviculture,Lakhiaita,001755306000065
78815,Ste Tahiri Y Cia,Tanger,001755308000011
78816,Bel-Sab-Negoce,Oujda,001755312000097
78817,Ste De Tannnerie Tajdide,Fès,001755323000091
78818,Amjad Poli Travaux,Laayoune,001755326000010
78819,Packimex,Bab Berred,001755328000053
78820,Lamps,Larache,001755343000036
78821,Inter Service Organisation,Tanger,001755479000050
78822,Cokina,Rabat,001755480000023
78823,Transgrua Maroc,Mohammedia,001755484000012
78824,Meryas Construction,Casablanca,001755506000097
78825,Point Du Jour (Negoce Du),Casablanca,001755573000034
78826,Louna-S,Kénitra,001755636000079
78827,Duplex Immobilier,Mekns M,001755641000041
78828,Pro Immobilier And Construction,Marrakech,001755647000073
78829,Hayte Travaux,Marrakech,001755654000078
78830,Eizio Networks Limited,Sultan Ar,001755707000005
78831,Istanbul Food,Agadir,001755717000026
78832,Faoz Invest,Casablanca,001755750000008
78834,Izm,Zagora M,001755837000084
78835,LAVE LINGE SERVICE,Casablanca,001755839000030
78836,H.A.D Trans,Souk El Arbaa,001755871000039
78837,Moroccan Engineers And Constructors,Casablanca,001755876000001
78838,Frigo Trans Afrique,Casablanca,001755936000030
78839,Groupe Plus De Securite,Mohammedia,001755947000024
78840,Nassim Media,Casablanca,001755986000038
78844,LYDIE SHALEY EVÉNEMENTIEL,Marrakech,001756664000065
78845,Inspiration Medic,Mdina Ar,001756672000043
78847,Brinabra,Sefrou M,001756722000051
78848,Marrakech Global Business Offshoring,Marrakech,001756732000072
78849,Jasamy Net,Casablanca,001756739000077
78850,Ste D'Amenagement D'Etudes Topographiques,Rabat,001756756000006
78851,El Kiaf Import Export,Berrechid,001756786000069
78852,Global Industrial Engineering And Services  (G. I. E. S),Mohammedia,001756796000090
78853,Societe Immobiliere Dounia Daman,Jadida,001756815000062
78854,El Sur Tours,Ouarzazate,001756884000042
78855,Boutique Femme Marocaine Al Kouzam,Casablanca,001756888000031
78856,ARMONA (Produits et commercialisation de légumes),Casablanca,001756900000095
78857,Ste Jida De Construction,Oujda,001756921000013
78858,Bien Medical,Temara,001756965000086
