Unnamed: 0,nom,ville,ice
13017,Peter Groupes Invest.2,Fès,000051434000031
13018,Dekr Ali Construction,Casablanca,000051436000074
13020,Yomo Car,Marrakech,000051439000090
13021,Detroit Call Center,Tanger,000051440000063
13022,Societe Al Makarim,Taza,000051442000009
13023,Divart,Casablanca,000051444000052
13024,Tanger Lafico,Tanger,000051447000068
13025,Hma Conseils,Marrakech,000051449000014
13026,Smart Choice Services,Agadir,000051450000084
13027,WAFA SOUSS,Casablanca,000051453000003
13028,Birimarb,Dar Bouazza,000051455000046
13029,Bensaddik Pc Info Shop,Khémisset,000051456000019
13030,Multi Travaux Et Services,Marrakech,000051458000062
13031,Farijoud Collective,Agadir,000051461000078
13032,Mogadore Car,Marrakech,000051462000051
13033,Drinkil,Bni Oulid,000051464000094
13034,F2H Transport,Tanger,000051468000083
13036,El Hassi De Construction,Karia Ba Mohamed,000051470000029
13037,Assurances El Sammak,Chefchaouen,000051471000002
13038,Contatex,Tanger,000051472000072
13039,Dar Du Maroc,Zouagha,000051475000088
13040,Smaico Industry,Tanger,000051476000061
13041,Fares Building Company  (Fabuicop),Assilah,000051477000034
13042,Ocad Industries,Tanger,000051478000007
13043,Batterfly Car'S,Taza,000051479000077
13044,Norte Car,Tetouan,000051482000093
13045,Four Seasons Concassage,Tanger,000051484000039
13046,Yoom Cars,Agadir,000051485000012
13047,Nouvelle Generation Du Chaudronnerie,Marrakech,000051487000055
13048,Moorish Interiors,Fès,000051488000028
13049,Meslem Et Fils,Oujda,000051489000001
13050,EVA SERVICES,Casablanca,000051490000071
13051,Red Shoes,Sidi Bernoussi Ar,000051492000017
13052,Point Assur,Casablanca,000051493000087
13053,Tiguida Travaux,Assoukhour Assawda,000051494000060
13054,Societe Nsab Travaux,Guercif M,000051497000076
13055,A.J.M Consulting,Rabat,000051499000022
13056,Rev' Cars,Agadir,000051500000092
13057,Aroro Ouvrage,Khouribga,000051501000065
13058,Chapedale,Tanger,000051502000038
13059,Nourek Trav,Marrakech,000051503000011
13060,LOTUS CLEAN,Agadir,000051504000081
13061,Smart Partner,Tanger,000051506000027
13062,Time Fish,Tetouan,000051507000097
13063,Logement Pour Tous,Agadir,000051510000016
13064,Kaji Industrie,Tanger,000051511000086
13065,Lmerrouni Rent Car,Tetouan,000051513000032
13066,Formatis Internacional,Tanger,000051514000005
13067,Dsr Transport,Sidi Moumen,000051518000091
13068,Ste Transport Sadaka,Casablanca,000051519000064
13069,Motom Italia,Marrakech,000051520000037
13070,Estivamiels Maroc,Fès,000051521000010
13071,Les Terrasses De Camilia,Marrakech,000051522000080
13072,La Continental D'Inox,Casablanca,000051523000053
13073,Etablissement Albatrik De Commerce,Casablanca,000051524000026
13074,Souss-River Loisirs Et Services,Agadir,000051525000096
13075,Nzaha Car,Casablanca,000051526000069
13076,Africarma,Tetouan,000051527000042
13077,Propo Gestion,Bouskoura,000051528000015
13078,Fiduciaire Al Wassit,Marrakech,000051529000085
13079,Trafini,Imzouren,000051531000031
13080,Anra Networks  (Anran),Tanger,000051534000047
13081,Chttou Transport,Taza,000051535000020
13082,Azami Freres,Fès,000051536000090
13083,Andalous Game,Tanger,000051537000063
13084,Etradak,Tanger,000051539000009
13085,Atlantic Express,Tanger,000051540000079
13086,Gharb Fermeture,Kénitra,000051541000052
13087,Contact Construction,Tanger,000051543000095
13088,6Ème Sens Consulting,Casablanca,000051544000068
13089,Comaroga,Tanger,000051546000014
13090,E.S Travaux Divers,Fès,000051548000057
13091,M.T.3,Marrakech,000051549000030
13092,Transports Saihi Mahroussi,Tetouan,000051550000003
13093,Foumatra,Chock,000051552000046
13094,Entreprise Batiment Abali Frere,Tit Mellil,000051554000089
13095,Altaynof,Casablanca,000051556000035
13096,Rayures D'Or,Marrakech,000051558000078
13097,Qian Hao,Casablanca,000051559000051
13098,Comadecor,Casablanca,000051560000024
13099,Inustal,Casablanca,000051561000094
13101,Societe Filali De Plastique,Fès,000051568000002
13102,Sherpa Grh,Sidi Moumen,000051569000072
13103,Uk Pack,Moulay Rachid,000051570000045
13104,Mind-Tours,Marrakech,000051571000018
13105,Nor Concept,Fès,000051572000088
13106,Nadal Services,Sidi Ghaneme,000051575000007
13107,Gramis Travaux,Fquih Ben Salah,000051576000077
13108,MAGHREB EXTRUSION,Casablanca,000051577000050
13109,S O S Maille,Casablanca,000051578000023
13110,Juta Med,Tanger,000051579000093
13111,Cle Encore Constructions,Tanger,000051580000066
13112,Complexe Nassiria,Tanger,000051581000039
13113,Global Solution Project,Hassani,000051583000082
13114,Pot & Gc,Oujda,000051585000028
13115,Lobati,Tanger,000051588000044
13116,Milk Distribution,Casablanca,000051590000087
13117,Raib Batiment Et Erraji Construction  (Ra.B.Era.Co),Sidi Bernoussi,000051591000060
13118,Travaux Divers Zait,Sidi Slimane,000051595000049
13119,Danyaz Consulting,Casablanca,000051597000092
13120,Sud Paladio,Marrakech,000051598000065
13121,Electricite Aouichah,Sidi Moumen,000051599000038
13122,H.Aymen,Sidi Bernoussi,000051601000081
13123,Ilyk Diffusion,Casablanca,000051602000054
13124,Meetin Communication,Casablanca,000051604000097
13125,Anadi Trans,Casablanca,000051605000070
13126,Pilote Cars,Gueliz,000051606000043
13127,Mouhibat Construction,Amizmiz,000051608000086
13128,Inox Chark,Oujda,000051609000059
13129,Trav Div Rahali Freres,Tanger,000051610000032
13130,Univers Inox,Casablanca,000051613000048
13132,Assurance Al Hassan Lyoussi,Sefrou,000051617000037
13133,Fouzitra,Tanger,000051619000080
13134,Brioullay World Company,Tanger,000051621000026
13135,El Katranord,Tanger,000051622000096
13138,Casa Nrj,Nador,000051625000015
13139,Minouadi Car,Tetouan,000051627000058
13140,So-To-Fra-Co,Fès,000051630000074
13141,Magrinset,Agadir,000051634000063
13142,Deco Peint,Sidi Moumen,000051635000036
13143,T.O.P.O.G.E.C,Casablanca,000051636000009
13144,Le Carre Parfait De Travaux,Oujda,000051637000079
13145,Jumbo Travaux,Oulad Abdoune,000051638000052
13146,Sonnabatealstone,Fès,000051639000025
13147,Chahdmaille,Casablanca,000051640000095
13148,Macobac,Safi,000051641000068
