Unnamed: 0,nom,ville,ice
117063,Rubi Marbre,Agadir,003152211000043
117064,Rom Years,Mohammedia,003152245000095
117065,Societe Karba Frere,Kacem M,003152277000007
117067,IBEC BUILDING,Marrakech,003152357000078
117069,Amail De Constructions,Casablanca,003152408000059
117070,Export Trading Import Company,Sidi Bernoussi Ar,003152457000094
117071,Ste Laayoune Marhaba,Laayoune,003152499000027
117072,Lawichi Trav,Casablanca,003152580000071
117073,A&A NÉGOCE,Casablanca,003152607000021
117074,Karnorte Immobiliere,Tanger,003152721000047
117076,Orca Green Solutions,Marrakech,003153070000033
117077,T.P.E Systeme 2001,Deroua,003153101000069
117078,Equipement Marhaba,Mdina Ar,003153169000076
117079,Samaoui Services Immobilier,Laayoune,003153278000043
117080,Casa Brosses,Ben Msick Ar,003153290000010
117081,Bjorn,Casablanca,003153293000026
117082,Bereouaiel Structure,Khouribga,003153306000063
117083,Taffani Pieces Auto,Kénitra,003153312000095
117084,ATELIER SOLUTION MAROC,Casablanca,003153359000087
117085,Dolce House,Safi,003153398000004
117086,Hm Broder,Guercif M,003153405000009
117087,Cgnc-Maroc,Temara,003153463000092
117088,Smj,Casablanca,003153600000079
117090,Suder Peche,Dakhla,003153630000045
117091,Rn Building,Knitra M,003153644000055
117093,Assistance Masters,Marrakech,003153705000057
117094,Societe Bayate Alsakane Immobiliere,Casablanca,003153739000012
117095,Beita,Marrakech,003153740000082
117096,Institut Privee Guide De Reussite,Oujda,003153781000042
117097,Marina Nautiques,Tetouan M,003153808000089
117098,La Societe Hispano-Marocaine Des Activites Commerciales,Casablanca,003153810000035
117100,FED DESIGN,Casablanca,003153845000060
117101,Oc3 Distribution,Tanger,003154009000094
117102,Tawfik Chraibi Conseil,Assoukhour Assawda Ar,003154036000044
117103,Timran Trans,Agadir,003154050000054
117104,Hachimi Divers,Kénitra,003154130000028
117105,Karbal Invest,Ait Melloul M,003154197000062
117106,Yara Sud,Tinejdad M,003154199000008
117107,The Southern Pearl,Marrakech,003154286000084
117108,Click Cloud,Agdal Ar,003154332000006
117109,Muebles Rio,Laayoune,003154363000042
117110,Nkbs Parc,Casablanca,003154429000006
117111,Les 4 S,Casablanca,003154441000070
117112,O.M.F.R Maroc,Temara,003154592000067
117113,Japlast,Laayoune,003154668000052
117115,Alae Eddine Et Mohamed,Martil M,003154882000094
117116,Decaleb,Casablanca,003154992000034
117118,Oro Logistics,Ait Melloul M,003155381000007
117119,Ste Isha Negoce,Dakhla,003155416000032
117120,Gibraltar Airways,Tanger,003155448000041
117121,Le Doux Coquelet,Tanger,003155453000003
