Unnamed: 0,nom,ville,ice
26208,Shine Pub,Fès,000097245000078
26209,Societe Trans Rachyq,Jorf El Melha,000097247000024
26210,Bassar,Fès,000097249000067
26211,Director Expo Maroc,Casablanca,000097250000040
26212,Sata Soft,Fès,000097252000083
26213,Ingenieria Urbana,Tanger,000097253000056
26214,Aswak Rif,Driouch,000097255000002
26215,Transport Attaiki,Lamharza Essahel,000097256000072
26216,Bougrissir,Casablanca,000097258000018
26217,Innovation Systeme Informatique,Nador,000097261000034
26218,Amecologic,Casablanca,000097262000007
26219,Diseno,Oujda,000097263000077
26220,Cronomedia Maroc,Tanger,000097264000050
26221,Talhika Freres,Ouaoula,000097265000023
26222,Sobenka,Tanger,000097268000039
26223,Best Of Clothing,Casablanca,000097269000012
26224,Clairintec,Agadir,000097271000055
26225,Titramek,Meknès,000097272000028
26226,Etdi,Meknès,000097273000001
26227,Ste Sojial,Meknès,000097274000071
26228,Wahid Souks,Sidi Bennour,000097275000044
26229,Al Khomani Travaux,Meknès,000097279000033
26230,Sara Hammadich,Tanger,000097280000006
26231,Deco-Gravure,Agadir,000097281000076
26232,Hispano - Marroqui De Equipamientos,Tanger,000097282000049
26233,Driouech Ice Services,Jadida,000097283000022
26234,Etoiles Travaux,Fès,000097285000065
26235,Kadis Trans,Tanger,000097286000038
26236,Creation-Distribution-Lingerie,Marrakech,000097288000081
26237,Norzine,Casablanca,000097289000054
26238,Top Cuir,Sidi Bernoussi,000097290000027
26239,Must Business,Sidi Bernoussi,000097291000097
26240,Decomo,Sale,000097292000070
26241,Amsa Car,Meknès,000097295000086
26242,Sosdark,Ouezzane,000097296000059
26243,Casa Chauffage,Casablanca,000097299000075
26244,Kamil Style,Casablanca,000097300000048
26245,Universal Call Center,Tanger,000097301000021
26246,Snack Touta,Béni Mellal,000097302000091
26247,Bmr Trans,Taza,000097303000064
26248,Renomac,Meknès,000097305000010
26249,Sobedatrav,Agadir,000097306000080
26250,Ziranord,Tanger,000097307000053
26251,Youfa,Midelt M,000097308000026
26252,Fidel Management,Casablanca,000097309000096
26253,All Sewing,Sebaâ,000097310000069
26254,Top Works,Casablanca,000097311000042
26255,Pic Creative,Casablanca,000097312000015
26256,Maroc Paradite,Mohammedia,000097313000085
26257,Travaux Khouyi Et Barbach,Sidi Bennour,000097314000058
26258,Kerwel Travaux,Casablanca,000097315000031
26259,Yasyn Marwan Travaux,Tanger,000097316000004
26260,Chouper Plast,Souk Sebt Oulad Nemma,000097317000074
26261,Assainipro,Sidi Bernoussi,000097318000047
26262,St Location,Casablanca,000097319000020
26263,Go Up Morocco,Casablanca,000097320000090
26264,Societe D'Organisation Des Evenements Des Reves  (Doreve),Fès,000097321000063
26265,Essabre Distribution,Oujda,000097324000079
26266,Better Life Process,Gueliz,000097327000095
26267,Tililit De Travaux Divers Et Negoce,Tanger,000097328000068
26268,Trans Focus,Tanger,000097330000014
26269,Forbami,Casablanca,000097333000030
26270,Societe Pour La Maitrise De Leau,Mekns M,000097334000003
26271,Mimouna Fiduciaire,Sale,000097336000046
26272,Nortetrans,Tanger,000097337000019
26273,Imprimerie Achraf Graphique,Mohammedia,000097338000089
26274,Groupe Mazagan Computer,Jadida,000097340000035
