Unnamed: 0,nom,ville,ice
64721,Tizimar,Tetouan,001526265000034
64722,S.B.I. MAROC (Systems bio industries Maroc),Fés,001526266000007
64724,NUEVO CALZADO INTERNATIONAL,Tanger,001526269000023
64725,UNIVERS PLANCHER,Aïn Atiq,001526270000093
64726,A.I.C. (Ateliers industriels chérifiens),Kénitra,001526273000012
64727,GRIMALDI AGENCIES MAROC,Casablanca,001526275000055
64728,Al Fadila Pieces De Rechanges,Casablanca,001526276000028
64729,G.T.P. ENTREPRISE (sté Ghandour de travaux publics),Khémisset,001526277000001
64730,AF CONSEILS (Actions Finance Conseils),Marrakech,001526278000071
64731,Freres Ignane D'Electricite  (Figelec),Casablanca,001526281000087
64733,CINCIB (Comptoir Intercommercial et Industriel de Bouchage),Nouasseur,001526291000011
64734,Asla Lines,Tanger,001526292000081
64735,C.M.G.P. (Compagnie Marocaine de Goutte à Goutte et de Pompage),Nouasseur,001526296000070
64736,PORELAR,Larache,001526297000043
64738,Luminex Eclair,Casablanca,001526303000075
64740,AFRIQUIA LUBRIFIANTS SALUB,Casablanca,001526306000091
64743,Ryad Soualem,Hassani Ar,001526314000069
64744,CERS (Sté de Construction Etanchéité et Revêtement Sol),Rabat,001526315000042
64745,BORJ BOIS,Casablanca,001526318000058
64746,FEDERAL MOGUL,Tanger,001526327000009
64747,Ste Partnership Morocco Malaysia Corporation  (Pmmc),Casablanca,001526329000052
64751,DISTRIFER (Distri-Fer),Tit Mellil,001526345000008
64752,DELMA D'INVESTISSEMENTS TOURISTIQUES,Casablanca,001526346000078
64753,BEST ONE,Casablanca,001526348000024
64754,BCR TRADE,Tanger,001526355000029
64756,Prevost Ste Anonyme Des Anciens Ets,Casablanca,001526368000066
64758,LADIS,Bouskoura,001526375000071
64759,Societe Inezgane Voyages,Inezgane,001526385000092
64760,SOFICOTEXT (Sté de Fils et de Couvertures Textiles de Tanger),Tanger,001526389000081
64761,ETAFAT,Casablanca,001526391000027
64763,MACCESS,Salé,001526397000059
64764,AGRIVAL,Casablanca,001526399000005
64765,MARBAR,Casablanca,001526400000075
64766,PROBATIM,Mohammedia,001526404000064
64767,TOP GAZ,Marrakech,001526413000015
64769,Zenata Shipping,Casablanca,001526424000009
64770,MCDF (Moroccan company for dessert and food),Bouskoura,001526425000079
64772,INJAZ SAKANE,Casablanca,001526427000025
64774,Centrale D'Achat De Representation Et D'Importation Au Maroc  (Carim),Casablanca,001526431000014
64775,A2S INDUSTRIES,Mohammedia,001526433000057
64776,BESTOURS,Casablanca,001526434000030
64777,ALUMINIUM DU MAROC,Casablanca,001526440000062
64778,ALUMINIUM DU MAROC,Casablanca,001526440000062
64780,Inter Electro Menager (Ste),Ait Melloul,001526447000067
64781,CHARCOMEM (Charpente et construction mécanique du Maroc),Tit Mellil,001526450000083
64783,SOMODELCO,Tit Mellil,001526452000029
64786,SUCRUNION,Casablanca,001526465000066
64787,OMITEX (Oumera Textiles),Tanger,001526468000082
64788,FRIGOS TARIK (entrepôts frigorifiques Tarik),Casablanca,001526473000044
64789,S.P.R. (sté pharmaceutique de répartition),Casablanca,001526474000017
64791,Elevage Techla,Dakhla,001526477000033
64792,Maghrebine Industrielle Et Commerciale (Union)  (Umico),Casablanca,001526482000092
64793,Societe Elmorhir Housac,Youssoufia,001526485000011
64795,ALOMRA GUARDING INTERNATIONAL,Casablanca,001526506000026
64796,BAYER PHARMA,Casablanca,001526508000069
64797,ARBOR OULMES (Sté arboricole d'Oulmès),Casablanca,001526509000042
64798,GEOTEHNIKA,Casablanca,001526510000015
64802,SOMIVAM (Société de mise en valeur de matières minérales),Casablanca,001526522000079
64803,Ennasr Elevage,Dakhla,001526524000025
64806,Etudes De Gerance Et De Travaux Ste D,Casablanca,001526528000014
64810,SCOMEDICA,Casablanca,001526533000073
64811,SANTOY DISTRIBUTION,Marrakech,001526535000019
64812,Mondial Fiscal,Safi,001526539000008
64813,Promaille,Fès,001526540000078
64814,Domti Fer,Marrakech,001526541000051
64816,SPAIB INTERNATIONAL,Tit Mellil,001526543000094
64819,SEPALUMIC MAROC,Bouskoura,001526552000045
64821,IMARSI (Imprimerie arts du 21ème siècle),Casablanca,001526561000093
64824,SOTHERMY (Sté thermo-médicale de Moulay Yacoub),Moulay Yacoub,001526570000044
64825,Diana Shipping,Agadir,001526571000017
64826,O  R,Laayoune,001526574000033
64827,BRIOR INDUSTRIES,Casablanca,001526579000092
64829,Assistance Technique Metre Et Coordinations  (Atmc),Casablanca,001526589000016
64831,MARGAFRIQUE (sté africaine de fabrication de margarine et de graisses alimentaires),Casablanca,001526595000048
64832,ABL SURSUM (Abl Sursum - Groupe Trial),Tanger,001526597000091
64834,Emaar Tinja,Marrakech,001526605000069
64835,AFMOS SURVEILLANCE MAROC,Casablanca,001526606000042
64837,CULTURE MOTO,Casablanca,001526610000031
64838,BRONZE-VERRE,Bouskoura,001526611000004
64839,WEBHELP GRC,Kénitra,001526612000074
64841,LONGOMÉTAL AFRIQUE,Casablanca,001526622000095
64845,On Time Trans,Tanger,001526642000040
64847,Sahara Roulements Et Transmissions,Casablanca,001526646000029
64848,SALAM GAZ,Rabat,001526647000002
64849,PUERTAS Y VENTANAS,Tanger,001526649000045
64850,Concept Coiffure,Casablanca,001526652000061
64851,Hesrin,Laayoune,001526654000007
64852,REZOROUTE,Casablanca,001526657000023
64853,AUSARE MAROC,Tanger zone franche,001526668000017
64854,GRAND MAGHREB INDUSTRIE,Tanger,001526675000022
64856,STBR CONSTRUCTIONS,Témara,001526679000011
64857,WHIRLPOOL MAROC,Casablanca,001526682000027
64858,OLAND GROUP,Casablanca,001526683000097
64859,A.D.I. BUREAU D'ÉTUDES (Cie d'aménagement agricole et de développement industriel),Rabat,001526684000070
64860,ARTCO (Art contemporain du tapis),Salé,001526685000043
64861,LOCAMED SERVICE,Rabat,001526686000016
64862,Atrav,Rabat,001526688000059
