Unnamed: 0,nom,ville,ice
39252,Karba Travaux,Safi,000222459000041
39253,Oriscal,Meknès,000222461000084
39254,MATIFER,Casablanca,000222462000057
39255,Benbros Developpement  (B 2 B D),Casablanca,000222463000030
39256,Societe El Boujnounia,Sidi Slimane,000222464000003
39257,Plus Com,Casablanca,000222465000073
39258,Ola Construction,Tanger,000222466000046
39259,NK SERVICES,Casablanca,000222468000089
39261,Ste Faqelec,Casablanca,000222470000035
39262,Librairie Papetrie Imprimerie Encre D Or  (Libernor),Béni Mellal,000222471000008
39263,Societe De Distribution Pieces Auto De Detroit  (Sodiprad),Tanger,000222472000078
39264,Waris Batiment,Mohammedia,000222473000051
39265,Ajys Aluminium,Sidi Bernoussi,000222474000024
39267,La Marocaine Des Logiciels,Casablanca,000222477000040
39268,Skia Amenagement,Dar Bouazza,000222480000056
39269,Ms Systems,Casablanca,000222481000029
39270,Ras Al Khima,Casablanca,000222482000002
39271,Euro Des Marches,Ben Ahmed,000222483000072
39272,Batlya Marbre,Casablanca,000222484000045
39273,Marguerat Clim,Meknès,000222485000018
39274,Technique Marocaine De Nettoyage,Oujda,000222487000061
39275,Societe Marocaine De Pieces Agricoles Et Automobiles  (Smpaa),Jadida,000222488000034
39276,Poltec Maroc,Mohammedia,000222490000077
39277,Celest Group,Casablanca,000222492000023
39278,Zghobe V,Casablanca,000222493000093
39280,Kattaf Travaux,Tanger,000222498000055
39281,Abk Travaux Et Equipement D'Eau  (Abk T2E),Casablanca,000222500000001
39282,Guenguane Trans,Sefrou,000222502000044
39283,Casa-Saisie-Compta,Casablanca,000222503000017
39284,Ouali Trap,Meknès,000222506000033
39285,Mahatram,Meknès,000222507000006
39286,Pirau,Mohammedia,000222508000076
39287,D.E.B Btp Et Ingenierie,Oujda,000222509000049
39288,NJE (Négoce Jouadi Equipements),Casablanca,000222510000022
39289,Andalucia Btp,Tanger,000222513000038
39290,Le Boncoin Immobilier,Sidi Belyout,000222515000081
39291,Ste Borj Ouirgane Travaux,Marrakech,000222518000097
39292,Massar De Travaux Divers Et Plantation,Ghafsai,000222520000043
39293,Chourak Electricite Et Plomberie,Casablanca,000222521000016
39294,Arizouna,Bni Yakhlef,000222522000086
39295,Fyl Racing Team,Ouahat Sidi Brahim,000222523000059
39296,Dot Com Systems,Casablanca,000222525000005
39297,T.E.P Amine,Casablanca,000222527000048
39298,Electro Tazi,Casablanca,000222528000021
39299,Abraj Casa De Construction,Casablanca,000222531000037
39300,Box Mar,Tetouan,000222535000026
39301,Khelfaoui Net,Casablanca,000222536000096
39302,Auto Lahraoui,Casablanca,000222537000069
39303,Nama Arrebat,Casablanca,000222538000042
39304,First Consulting Contractor,Sebaâ,000222539000015
39305,Agromadex,Casablanca,000222542000031
39306,Management Et Systeme De Construction,Agadir,000222543000004
39307,Mine D'Or,Casablanca,000222544000074
39308,Saluneg,Casablanca,000222545000047
39309,Aitlubrifiant,Casablanca,000222546000020
39310,Amazzal Tous Travaux,Marrakech,000222549000036
39311,Taourirt Distribution,Taourirt,000222553000025
39312,Xilo Graphiques,Casablanca,000222555000068
39313,Everest- Trans,Sidi Bernoussi,000222556000041
39314,Janice Import Export,Casablanca,000222557000014
39315,Vip Shop.Ma,Casablanca,000222558000084
39316,Aquadesign Concept,Marrakech,000222559000057
39317,Car In,Casablanca,000222560000030
39318,Groupement D'Entreprise Karim De Batiment  (Gekb),Casablanca,000222561000003
39319,Ste Yasam Industrie,Laayoune,000222562000073
39320,Digital Solutions,Casablanca,000222563000046
39321,Marocaine De Chimie Industrielle  (Mci),Casablanca,000222564000019
39322,Eco Smart,Meknès,000222565000089
39323,El Fennani Kawtar Construction,Casablanca,000222566000062
39324,Russels,Casablanca,000222567000035
39325,S-Planete Invest,Casablanca,000222568000008
39326,Multi Technologie Industrie,Casablanca,000222569000078
39327,Ramla Art,Casablanca,000222570000051
39328,Reseller,Casablanca,000222573000067
39329,Osaha,Fès,000222574000040
39330,Fouad Sauvgard Et Restauration Des Monumonts,Fès,000222575000013
39331,Signa.Pub,Casablanca,000222576000083
39332,G Y M Trans,Casablanca,000222577000056
39333,Lemnaouer Construction,Casablanca,000222578000029
39334,Entreprise Oubari De Construction Divers,Agadir,000222579000002
39335,Cap Sud Business,Casablanca,000222580000072
39336,Best Smart Service,Casablanca,000222581000045
39337,Naim Consulting,Casablanca,000222583000088
