Unnamed: 0,nom,ville,ice
91723,Aramix Company,Tanger,002287920000028
91724,Outitaiba,Tetouan M,002287934000038
91726,AFRICA PAYSAGE,Casablanca,002288011000093
91727,Kiwi Fish,Jadida,002288134000070
91728,Golden Distribution Et Marketing  (Godimark),Tanger,002288149000053
91729,Beta Decor,Tanger,002288308000028
91730,Trio Clim,Tanger,002288315000033
91731,Ste Jamila Negoce,Casablanca,002288391000018
91732,Ste Cafe L'Affaire,Agadir,002288421000081
91733,Construction Divers Fahina,Settat,002288450000074
91734,Azza Business Group,Tanger,002288461000068
91735,Evofab,Casablanca,002288485000002
91736,Sablid Info,Khouribga,002288503000001
91738,Societe Net Moon Services,Mekns M,002288646000020
91739,Etablissement Cristofer,Settat,002288720000059
91740,Nour Missour,Missour M,002288770000067
91741,Hpb,Anfa,002288772000013
91742,Scrap And Waste,Casablanca,002288789000039
91743,VALDEM (Valorisation Déchets Maroc),Casablanca,002288817000059
91744,Electro Chentouf,Tanger,002288820000075
91745,Ali Jebrane Trans,Anfa Ar,002288837000004
91746,3N.Ikit,Casablanca,002288851000014
91747,INDUSTRY DEVELOPMENT COMPANY,Casablanca,002288886000039
91749,Ecole Alhadata Almaghribia Privee,El Maarif Ar,002288933000031
91750,Emporium International Maroc,Sale,002288962000024
91751,Faste Automobile Maroc,Rabat,002288978000077
91752,MATEX-3MI,Safi,002288989000071
91753,MOLYPACK,Casablanca,002289100000081
91754,Pretoria,Casablanca,002289118000080
91755,Hd Events,Gueliz Ar,002289127000031
91756,Ste Disaday,Tanger,002289222000085
91757,Agricoles Bio Atlas Produits,Azrou M,002289263000045
91758,Faouzia Medical (Ste),Laayoune,002289299000043
91759,"Joao Leitao - Publicite, Tourisme Et Logistique",Arfoud,002289358000002
91760,Agri Ardi,Agdal Riyad Ar,002289373000082
91761,Moudi-Tech,Mdina Ar,002289378000044
91762,Industrial Company,Marrakech,002289464000050
91763,Energie Market,Fs,002289466000093
91764,Tanger Outsourcing  Marketing Solutions,Tanger,002289470000082
91765,RMIM (Rechargement et métallisation industrielle du Maroc),Tit Mellil,002289552000002
91766,Clima Est,Oujda,002289573000017
91767,Rak Foods,Marrakech,002289577000006
91768,Ermo Surveillance,Marrakech,002289648000029
91770,Ozlo,Marrakech,002289680000038
91771,Arabat Import Export,Berkane,002289683000054
91772,Ap Development,Sidi Bouknadel,002289729000073
91773,Njtd,Youssoufia M,002289749000018
91775,Leba Center,Mdina Ar,002289770000033
91776,Morocco Services Company,Rabat,002289782000097
91777,Mabik Dakhla,Dakhla,002289798000053
91778,Hoara Prim,Agadir,002289888000048
91779,"Ste ""Dakhla Shipping""",Dahab,002289904000004
91780,Adam Clim,Guercif M,002289944000088
91781,Ak Transport Evenementiel,Oujda,002290049000066
91782,Loubna  Hakim Trans,Mdina Ar,002290070000081
91784,THE WEIGHT LOGISTICS,Tanger,002290133000029
91785,24X7 Connect,El Maarif Ar,002290145000093
91786,Massirat Al Fath,Tanger,002290190000042
91787,Logy Staf,Casablanca,002290222000051
91788,Trav Mar,Safi,002290234000018
91789,Groupe Scolaire Saischool Prive,Mdina Ar,002290238000007
91790,HADDADI REST,Casablanca,002290277000021
91791,Ho Invest,Gueliz Ar,002290287000042
91792,Baag Services,Laayoune,002290302000025
91794,Takoucht Service,Taroudannt M,002290383000069
91795,Travfaqyr,Oulad Teima,002290464000016
91796,Imperial Medical Import Export,Casablanca,002290523000072
91797,Neptune Logistique,Tanger,002290536000012
91798,Oasis Phoenix,Casablanca,002290662000005
91799,Zamaa,Marrakech,002290710000067
91800,AP LOGISTICS MOROCCO,Casablanca,002290792000084
91801,Lart Du Ble,Sidi Ali Ben Hamdouche,002290798000019
91802,MIRACLE WATER,Casablanca,002290827000012
91803,Toudgha Immobilier,Sidi Ghanem,002290829000055
91804,Ste Copono Pieces,Ait Melloul M,002290831000001
91805,Chraa.Bra Transport,Agadir,002290941000038
91806,Nesmart,El Maarif Ar,002290997000078
91807,Trav Rid,Ksar El Kebir M,002290998000051
91808,Ragenic,Agdal Riyad Ar,002291010000018
91809,Rps,Casablanca,002291056000037
91810,Sylva Land,Rabat,002291061000096
91811,Tokos Art,Sale,002291077000052
91812,Koulchi Business,Casablanca,002291129000006
91813,Ste El Barkaoui Et Fils,Temara,002291188000062
91814,HCH LAW FIRM (Maître Houssam Chmanti Houari),Casablanca,002291206000084
91815,Africa Business Network,Rabat,002291307000050
91816,Academie De Ressources Et Competences En Transport Et Logistique  (Arctl),Casablanca,002291339000059
91817,Gs Structure,Rabat,002291372000041
91818,Atalayoun Cash,Nador,002291384000008
91819,BEN SAMMOU TRAITEUR,Casablanca,002291485000094
91820,Cgv Sud Service,Dcheira El Jihadia,002291503000093
91821,Tamlast,Casablanca,002291515000060
91822,Az Outsourcing,Tanger,002291573000046
91823,Blue Gard,Mekns M,002291640000080
91824,Qadamed,Ain El Aouda M,002291648000058
91825,Ae Systems,Tanger,002291655000063
91826,CLASS TRADE,Casablanca,002291833000010
91827,Etablissement Freres Mohamed Sarl,Marrakech,002291851000009
91828,ROAD RUNNER RENTALS,Casablanca,002291856000068
91829,Electro-Samol,Khenifra,002291892000066
91830,Atlass Anass,Agdal Riyad,002291983000034
91831,Redrock Manufacturing And Design Company,Agadir,002292054000057
91832,Taqaparts,Tanger,002292061000062
91834,Hold Groupe Rguibi,Laayoune,002292082000077
91835,Dakhla Alliance Peche,Dakhla,002292101000049
91836,Nouira Car,Casablanca,002292223000053
91837,Societe Info Ouar,Ouarzazate,002292291000060
91838,Auto Ecole Khamsi Et Ouarrak,Khouribga,002292346000030
91839,FIRST COURSIER,Casablanca,002292362000083
91840,Pneumatique Ouled Nemma,Souk Sebt Oulad Nemma,002292405000086
91842,Standard Mecanique Hayat,El Maarif Ar,002292614000069
91843,Bio Agrico,Agdal Riyad,002292663000007
91844,Essouiri Du Commerce,Casablanca,002292714000085
91845,Wedding  Events Palnner Yh,Agdal Riyad Ar,002292722000063
91846,Maghredial,Agdal Riyad Ar,002292752000029
91847,L K H Luxury,Rabat,002292786000081
91848,Acm Technology,Tanger,002292804000080
91849,Agadir Fourniture Generale,Agadir,002292879000092
91850,Ste Mobi Expo,Taourirt M,002292982000027
91851,Sveria Travaux,Casablanca,002293040000013
91852,Ste M Voyage,Agadir,002293160000071
91853,Arbasen,Larache M,002293189000064
91854,Alasri B2B Car,Kénitra,002293200000058
91855,Loca-Lavida Car,Agadir,002293219000030
91856,Yamr Cars,Casablanca,002293262000033
91857,Labiede Freres Agriculture,Jamaat Shaim,002293284000021
91858,Biohaus Maroc,Tanger,002293380000048
91859,Nextimprovement,Laayoune,002293391000042
91860,Italmar,Agdal Riyad Ar,002293402000036
91861,Jano Security,Marrakech,002293494000074
91862,Fet Technology,Oujda,002293499000036
91863,Wedeink Technologie,Hassani Ar,002293626000002
91864,Ste L.A.T Trav,Mdina Ar,002293651000006
91865,Bigzone,Casablanca,002293663000070
91866,Solgraf,Chock Ar,002293707000046
91867,Sos Home (Ste),Casablanca,002293712000008
91868,Khalij Services,Laayoune,002293722000029
91869,Agoujex,Casablanca,002293756000081
91870,Noorbuilding,Sale,002293762000016
91871,Bs Participations,Casablanca,002293793000052
91872,Cafe Tourkia,Khouribga,002293799000084
91873,Ste Marocaine Commerciale Et Industrielle De Laayoune  (Somacil),Laayoune,002293824000088
91874,B.S.T Trans,Temara,002293835000082
91876,Exponaire,Marrakech,002293868000064
91877,Torontino,Mekns M,002293877000015
91878,Sobrama-Trans,Larache M,002293918000072
91879,Clipro,Knitra,002293926000050
91880,Adyoz Travaux,Agadir,002293976000058
91881,Ste Kert Cars,Nador,002294017000018
91883,H2Promo,Nador,002294143000011
91884,Animalerie Dagadir,Agadir,002294178000036
91885,Gazwani,Laayoune,002294196000035
91886,Noix Spinosa,Tiznit M,002294281000068
91887,The Best Moroccan Caftan,Sale,002294292000062
91890,VOLTA INDUSTRIE,Mohammedia,002294583000062
91891,Wanogender,Casablanca,002294629000081
91892,Iguedar,Marrakech,002294642000021
91893,Hydronium,Marrakech,002294684000051
91894,Darir-Car,Ouarzazate M,002294688000040
91896,The Wolf Crew,Marrakech,002294719000076
91897,Elaz Trans,Knitra M,002294766000068
91898,Deco Jardin Paysage,Marrakech,002294778000035
91899,YATESMED,Rabat,002294806000055
91900,Societe Kamarus,Marrakech,002294829000016
91901,Momo Tra,Safi,002294854000020
91902,Centre Ahlen De Kinesitherapie Et Amincissement,Tanger,002294905000001
91904,Arbilux,Casablanca,002294990000034
91906,GLOBALEX,Casablanca,002295001000028
91907,Hamids Team,Agdz M,002295038000096
91908,Dalia Verde,Biougra M,002295043000058
91909,Moo 3D Studio,Bejaad M,002295119000043
91910,Sanchez Energy,Casablanca,002295131000010
91911,Midou  (Midou),Casablanca,002295161000073
91912,Zakiteboarding,Dakhla,002295177000029
91913,G2C (General Concept Contractors),Rabat,002295183000061
91914,Saving Logistiques,Tanger,002295237000058
91915,Ets Wadii De Formation Et Conseil,Jadida M,002295272000083
91916,Topcheptel,Casablanca,002295311000097
91917,Groupe Scolaire Janat Assafaa Prive,Bouznika M,002295362000078
91918,Dsi,Laayoune,002295373000072
91919,Maroc Lotissement,Fs,002295408000097
91920,Bensalam,Tinejdad M,002295413000059
91921,Dar Assafouane,Tiznit,002295494000006
91923,Agri Genetique,Casablanca,002295504000027
91924,H&H Frutti,Casablanca,002295624000085
91925,Sotrawac,Kénitra,002295698000027
91926,Wm Eventum,Casablanca,002295779000071
91927,Badidou  Co,Mohammedia,002295868000093
91928,SMART SIGNA,Casablanca,002295872000082
91929,Vegnel,Jadida M,002295886000092
91930,Tectural,Rabat,002295902000048
91931,Z.Style Acceuil,Casablanca,002295904000091
91932,Hm.Expo,Khouribga,002295968000012
91933,Amase Global,Mohammedia,002296071000044
91934,La Roche El Farag,Soualem,002296096000048
91935,Daraa Fish,Tan,002296129000030
91936,Pressing Mouflih,Ait Melloul M,002296133000019
91937,Ecole De Formation Au Jeu De Golf,Ait Melloul M,002296193000048
91938,LMIR ENGINEERING,Laayoune,002296198000010
91939,Bonfa Trav,El Maarif Ar,002296206000085
91940,Azor Jewelry,Casablanca,002296214000063
91941,Ste Khalfi Station,Fquih Ben Salah M,002296323000030
91942,Marotoner,Casablanca,002296424000019
91943,Sapino Events,Casablanca,002296454000082
91944,Hader Prim,Agadir,002296462000060
91945,CENTRALE DES FRUITS,Rabat,002296499000031
91946,H.H. Trans,Tanger,002296546000023
91947,Nassim Systems Energy,Casablanca,002296547000093
91948,Nada Pour Tout Type De Menuiserie De Bois,Saiss Ar,002296553000028
91949,El Adrah De Transport,Meknès,002296567000038
91950,General Civil Engineering Services,Agadir,002296597000004
91951,Nador 2000 Travaux,Nador,002296652000071
91952,Ste Mks Location,Laayoune,002296690000015
91953,Ounitaj Morocco,Agdal Riyad,002296711000030
91954,Prop Oil,Mekns,002296712000003
91955,Designe Arahma,Mdina Ar,002296735000061
91956,Import Et Export Chemaa-Az,Sidi Bernoussi Ar,002296781000080
91957,Pieces Autos Ghaoui,Casablanca,002296871000075
91958,Ernys Carcar,Settat,002296875000064
91959,Mjs Immobilier,Sefrou M,002296879000053
91960,Rabat Agriculture Et Developpement,Agdal Riyad Ar,002296911000062
91961,Elr12,Rabat,002296934000023
91962,As-Saddiq Siraj,Tanger,002296983000058
91963,Grand Chef Vip,Rabat,002297006000019
91964,Traxfer,"Etage, N8 Maarif",002297017000013
91965,Al Yaman De La Forge,Saiss Ar,002297038000028
91966,MECANODESIGN,Casablanca,002297098000057
91967,Tik Freres,Jerada M,002297242000049
91968,Quartier Verts,Sidi Bernoussi Ar,002297271000042
91969,Sam Light,Casablanca,002297291000084
91970,Abibel'S Equipement,Rabat,002297391000003
91971,Qj Travaux,Rich M,002297436000049
91972,Etablissement Firihab Al Maarifa De L'Enseignement Prive,El Hajeb,002297608000061
91973,Gm Lift,Sidi Bernoussi Ar,002297643000086
91974,TEXMAG CONSULTING TARIQ,Marrakech,002297677000041
91975,ML BAT,Casablanca,002297749000037
91976,Merchimport,Casablanca,002297982000051
91977,Nordic Travel,Tanger,002297999000077
91979,Kn Engineering And Construction,Hassan,002298006000082
91980,Ste Extra Media Info,Biougra M,002298034000005
91981,Farm Agrico Organic Almaghreb,Agdal Riyad,002298058000036
91982,Attijari Leasing,Casablanca,002298180000040
91983,Isramar Sud Negoce,Casablanca,002298182000083
91984,B.N.H.Y Negoce,Casablanca,002298194000050
91985,Ovlox,Casablanca,002298210000006
91986,Tazadak,Dakhla,002298223000043
91987,Monsieur Clean,Casablanca,002298283000072
91988,Congel Dcheira,Laayoune,002298296000012
91989,Luxury Aluminium,Bouskoura,002298300000001
91990,Ste S A S T E A,Taounate M,002298329000091
91991,Mario Plage,Dakhla,002298332000010
91992,Ste Immobiliere Douae-Nour,Tetouan,002298370000051
91993,DKH CONSTRUCTION ET SERVICES,Casablanca,002298413000054
91994,Ab Carrieres,Agdal Riyad Ar,002298499000060
91995,Top To-Commerce International,Rabat,002298500000033
91996,Rayane Messagerie,Agadir,002298540000020
91997,Hassania (Groupe),Casablanca,002298635000074
91998,Sigma Eco Et Services,Sale,002298639000063
91999,Trans Ladresse,Nador,002298640000036
92000,Jmd Distribution,Casablanca,002298684000012
92001,Breija Prestations,Jadida,002298711000059
92002,Mondeleva,Tanger,002298790000060
92004,Diamant Beton (Ste),Casablanca,002298796000092
92005,Vision Holding,Rabat,002298817000010
92006,Life Style,Casablanca,002298825000085
92007,Bnk Negoce,Jadida M,002298838000025
92008,Travoleo,Kacem,002298963000045
92009,AGTR (Agtr Btp),Marrakech,002298964000018
92010,Alf Kamel,Kénitra,002299026000090
92011,Solacer Maroc,Assoukhour Assawda Ar,002299037000084
92012,Ste J. C Global Bat,Tanger,002299049000051
92013,Creative Cook,Agadir,002299056000056
92014,PROXI INDUSTRIE,Laayoune,002299119000004
92015,Salmabat,Soualem,002299186000038
92016,Ste Igdalen,Azilal,002299190000027
92017,Atlantic Mani-Logistic,Agadir,002299191000097
92018,Futur Brand,El Maarif Ar,002299197000032
92019,Sg Trading Company,Casablanca,002299217000074
92020,Aboueimera Travaux Divers,Meknès,002299218000047
92021,K2M Securite Group,Assoukhour Assawda Ar,002299237000019
92022,AFRICANISER (Africaniser Engineering and Trading Company),Safi,002299251000029
92023,Tin Can Morocco,Casablanca,002299264000066
92024,Builoc,Casablanca,002299289000070
92025,Revetement Chtouka,Agadir,002299306000096
92026,Verre Oulad Chaker,Mdina Ar,002299347000056
92028,Sostories,Marrakech,002299393000075
92029,CGET,Meknès,002299397000064
92030,Jana - Or,Mdina Ar,002299405000042
92031,DMS INDUSTRIE,Casablanca,002299418000079
92032,Bivouac Sahara,Dakhla,002299423000041
92033,Souf1 Rent Car,Tanger,002299438000024
92034,Bouhlib Khadamat,Khenifra M,002299466000044
92035,Arm El Gazouli,Casablanca,002299482000097
92036,Tighza Fort,Azilal M,002299487000059
92037,Chodrenier,Casablanca,002299497000080
92038,Ste Auto Ecole Tafoukte,Dcheira El Jihadia M,002299499000026
92040,Mos Promo,Casablanca,002299509000047
92041,INDUSTRIANA,Casablanca,002299529000089
92042,Al Akhawayn Prive,Khouribga,002299538000040
92043,Waled Elkattni,Oued Zem M,002299549000034
92044,MAGIC BTP,Casablanca,002299553000023
