Unnamed: 0,nom,ville,ice
51961,Maharaty Center,Temara,001432770000071
51962,Ste Somaprojet,Temara,001432771000044
51963,Costa Laguna,Temara,001432772000017
51964,Trapevide,Temara,001432773000087
51965,Arm Batiment,Temara,001432774000060
51967,Nalya,Temara,001432854000034
51968,Internationale Des Mines  (Intermine),Casablanca,001432864000055
51970,Lahoucine Ever,Temara,001432877000092
51971,Jamaa Ever,Temara,001432878000065
51972,PRESTAGARD,Rabat,001432883000027
51973,Jinane Developpement,Temara,001432886000043
51974,Amal Tachid,Temara,001432893000048
51975,Sahmoud Services,Marrakech,001432928000073
51976,Pm Skills,Temara,001432943000056
51977,Modernitra,Temara,001432955000023
51978,Nail O-Less,Temara,001432957000066
51979,Atelier Pi,Hassan,001432958000039
51980,Exlaze,Temara,001432959000012
51982,La Prestigieuse,Harhoura,001432961000055
51983,Soyali Batiment,Temara,001432963000001
51984,Temara Bricolage,Temara,001432966000017
51985,Youmy Food,Ain Attig,001432970000006
51986,Nettoyage Au Propre,Agdal Riyad,001432973000022
51988,Petersson Logistics Chouklati  (Plch),Temara,001432975000065
51989,Odf,Bettana,001432976000038
51990,Transport Ettourabi Et Boujellaba,Skhirate,001432977000011
51991,2Wse,Temara,001432979000054
51992,Braplombe,Rabat,001432980000027
51993,Samark,Temara,001432981000097
51994,Nercom,Temara,001432982000070
51995,Ecole Privee Genius,Rabat,001432983000043
51996,Palm-Ligne,El Youssoufia,001432984000016
51997,Nour Bicasa,Temara,001432987000032
51998,Ste De Menuiserie Generale Et Negoce  (Somegen),Temara,001432988000005
51999,Ste Gartrad,Temara,001432991000021
52000,Le System Foncier,Temara,001432992000091
52001,Tizuka Developpement,Temara,001432993000064
52002,Best Mad Consulting,Temara,001432996000080
52003,Maamri Et Chtioui Batiments,Temara,001432997000053
52004,Mamoon Et Khalid,Temara,001432998000026
52005,Euro Atlas Dao,Agdal Riyad,001432999000096
52006,Je Batis,Skhirate,001433000000069
52007,Union Partenaire Groupe  (Upg),Harhoura,001433002000015
52008,Vitcomar,Loudaya,001433003000085
52009,Centre International De Developpement Des Centres Prives  (C.I.D.E),Temara,001433004000058
52010,Nadka,Temara,001433005000031
52011,Belabdatourkzi Multiservices  (Beltourkz),Temara,001433007000074
52012,Ste Elinte,Temara,001433009000020
52013,Masbanat Al Bahr,Temara,001433011000063
52014,Altitude Vehicule Traking,Harhoura,001433012000036
52015,Broco Design,Temara,001433016000025
52016,4 Pattes Prod,Temara,001433017000095
52017,El Gueddari Elec  (Egdec),Temara,001433021000084
52018,Goumghar Commerce,Ain El Aouda,001433022000057
52019,Sadkitrav,Temara,001433023000030
52020,Arrabia Secours Urgent Mobile  (Asum),Temara,001433024000003
52021,Sotematrav,Temara,001433026000046
52022,Hbt 2M,Ain El Aouda,001433027000019
52023,Nazzal,Temara,001433029000062
52024,Sozalio,Ain El Aouda,001433031000008
52025,Himmi Tours,Temara,001433032000078
52026,Lyon Deton,Temara,001433037000040
52027,Bnaya Car,Skhirate,001433038000013
52028,Mbyo,Temara,001433039000083
52029,Hajar Benyane,Temara,001433040000056
52030,Immobilier Service El Houari Conseil Evaluation  (Isece),Temara,001433041000029
52031,Nouram Assurances,Skhirate,001433042000002
52032,Diwane Commerce,Temara,001433043000072
52033,Devonet,Temara,001433044000045
52035,Cotramoc,Temara,001433046000088
52036,Ste My Prof Prive,Temara,001433047000061
52037,Societe De Construction Et D'Amenagement Du Territoire,Temara,001433052000023
52038,Ste Ouled Messoune De Construction,Skhirate,001433054000066
52039,Lamitrad,Skhirate,001433055000039
52040,Sariam,Temara,001433056000012
52041,Imperial Fer,Ain Attig,001433058000055
52042,Oronet Distribution,Temara,001433064000087
52043,Carrefour Para,Temara,001433065000060
52044,Promo Pharma Develeppement,Temara,001433066000033
52045,Bitravers,Temara,001433068000076
52046,A & M Retail,Ain Attig,001433070000022
52047,Perlman Dents,Temara,001433072000065
52048,Edderchi Freres,Temara,001433074000011
52049,Somatwin,Skhirate,001433075000081
52050,Claire Foncier,Temara,001433076000054
52051,Societe Magelan,Skhirate,001433078000097
52052,Ait Saoune Decor,Temara,001433079000070
52053,Gratec,Temara,001433080000043
52054,Batifini,Temara,001433082000086
52055,Betavico,Temara,001433083000059
52056,Soralidco,Ain El Aouda,001433084000032
52057,Euro Proxi & Distribution Import Export,Temara,001433085000005
52058,Getasco,Temara,001433086000075
52059,Menaa Travaux,Temara,001433089000091
52060,Bouazza Etanchiete,Temara,001433090000064
52061,Dipresta Ascenseur,Temara,001433091000037
52062,Verzon,Temara,001433092000010
52063,Sebbah Import Export,Temara,001433093000080
52064,Green Ray,Temara,001433094000053
52065,Mogador Wifaq,Temara,001433096000096
52066,Hasali Transport Logistic,Hassan,001433097000069
52067,A.Z Alu,Temara,001433099000015
52068,Droganda,Temara,001433100000085
52069,Echelaz,Temara,001433103000004
52070,Ob Strategies,Agdal Riyad,001433104000074
52071,Entreprise De Carrosserie Et Peinture Generale  (Ecpg),Temara,001433106000020
52073,Business Consult.Mar,Temara,001433108000063
52074,Zaers Multiservices,Sidi Yahya Zaer,001433109000036
52075,Import-Export De Vehicules De Transports Le 21 Eme Siecle  (Vt 21),Agdal Riyad,001433110000009
52076,Globureau,Temara,001433111000079
52077,Maki Tecnoforniture,Mohammedia,001433112000052
52078,Ighiz Inn,Errachidia,001433113000025
52079,Groupe Des Ecoles Prive Al Okhowa,Sidi Yahya Zaer,001433114000095
52080,Sobofis,Temara,001433115000068
52081,Mhada Rafik Des Travaux Et Services,Temara,001433116000041
52082,B2L Construction,Temara,001433118000084
52083,Moroccan Center Repair And Services  (M.C.R.S),Agdal Riyad,001433123000046
52084,Hmiddouch Ouanna,Sidi Yahya Zaer,001433124000019
52085,Ob Executive Assistantship & Services  (Obeas),Agdal Riyad,001433125000089
52086,Lomo Travaux,Temara,001433127000035
52087,Grand Travaux Khouribga,Temara,001433128000008
52088,Othmatrav,Temara,001433129000078
52089,Kenadza,Temara,001433130000051
52090,Aurora Car,Temara,001433132000094
52091,Hamido Car,Temara,001433133000067
52092,Al International,Skhirate M,001433135000013
52093,Abdo Outlet,Temara,001433139000002
52094,New Info,Agdal Riyad,001433144000061
52095,Harhoura Import Export,Safi,001433145000034
52096,Funny Trad,Temara,001433147000077
52097,Mozimar,Sale,001433149000023
52098,Logistico Del Castillo  (Ldc),Rabat,001433154000082
52099,Toutex,Temara,001433155000055
52100,Jad Finance,Agdal Riyad,001433157000001
52101,Al Atioui,Temara,001433160000017
52102,Quebec Connexion,Tabriquet,001433161000087
52103,Temarev,Temara,001433162000060
52104,Met-Z,Rabat,001433164000006
52105,Sogetradiv,Temara,001433166000049
52106,Force Technique,Temara,001433167000022
52107,It-Mor Business,Temara,001433168000092
52108,Ste De Travaux De Plomberie Et Divers,Hassan Ar,001433169000065
52109,Ghanem Textil,Skhirate,001433173000054
52110,Fasatraco,Skhirate,001433177000043
52111,Theme Decoration  (T.M.D),Temara,001433179000086
52112,Electro Zahi,Temara,001433182000005
52113,Foun Zguid Toundoute Des Travaux Divers,Skhirate,001433184000048
